,content,translated_text,Condidence level
0,"Experience stunning scenery, distinctive hospitality and unique experiences in the land of a thousand hills.",Ubunararibonye butangaje ahantu nyaburanga kwakira abashyitsi hamwe nubunararibonye budasanzwe mugihugu cyimisozi igihumbi,82.15838362577492
1,"30-day Free Visa upon arrival for African Union, Commonwealth & La Francophonie citizens.",Viza yubusa 30 kumunsi ugeze kubaturage ba Afrika yubumwe bwa Commonwealth La Francophonie,84.32740427115678
2,The 2nd easiest place to do business in Africa (World Bank 2020),Umwanya wa 2 woroshye gukora ubucuruzi muri Afrika Bank World 2020,83.33333333333336
3,GDP growth (2022),Ubwiyongere bwa GDP 2022,99.99999999999997
4,"Known as the land of a thousand hills, Rwanda’s stunning scenery and warm, friendly people offer unique experiences in one of the most remarkable countries in the world.",Azwi nk'ubutaka bw'imisozi igihumbi ibyiza by'u Rwanda hamwe n'abantu b'inshuti bishyushye bitanga uburambe budasanzwe muri kimwe mu bihugu bitangaje ku isi,72.76068751089991
5,"Find information about all government services including legal and travel documents, business, career opportunities and more.",Shakisha amakuru ajyanye na serivisi zose za leta zirimo amategeko ningendo ibyangombwa byubucuruzi amahirwe yubucuruzi nibindi byinshi,95.34625892455925
6,"You can request different Government services online through Irembo, the one-stop service portal.",Urashobora gusaba serivisi za leta zitandukanye kumurongo ukoresheje Irembo kumurongo wa serivise ya onestop,67.61234037828133
7,Enjoy Rwanda's business friendly environment. It takes only 6 hours to register a business online.,Ishimire Rwandas ibidukikije byubucuruzi Bifata amasaha 6 gusa kugirango wandike ubucuruzi kumurongo,95.7427107756338
8,The filing and payment of income tax in different categories is done online.,Gutanga no kwishyura umusoro ku byiciro bitandukanye bikorwa kumurongo,80.1783725737273
9,"Are you a supplier of goods, works, services or non-consultancy services? The E-Procurement System “Umucyo” links you to all public tenders.",Waba utanga ibicuruzwa serivisi zikora cyangwa serivisi zidahwitse Sisitemu ya EProcurement Sisitemu “Umucyo” iguhuza namasoko rusange.,42.00840252084029
10,"Kigali, 16 March 2023 - Over 2000 delegates representing 211 FIFA members, head of confederations and other global players in football gathered in…",Kigali 16 Werurwe 2023 Intumwa zirenga 2000 zihagarariye abanyamuryango 211 ba FIFA umuyobozi w’amashyirahamwe n’abandi bakinnyi ku isi mu mupira wamaguru bateraniye…,83.33333333333336
11,"Kigali, March 13, 2023 - Six ISO-sized shipping containers for the first BioNTainer landed in Kigali on Monday, marking an important milestone in the…",Kigali Ku ya 13 Werurwe 2023 Ibikoresho bitandatu byoherejwe na ISOsized ya BioNTainer ya mbere byageze i Kigali ku wa mbere biranga intambwe ikomeye muri…,73.33333333333331
12,"Kigali, 27 February 2023 - The National Umushyikirano Council opened on Monday at the Kigali Convention centre bringing together over 1500…",Kigali 27 Gashyantare 2023 Inama y’igihugu Umushyikirano yafunguye ku wa mbere mu kigo cy’amasezerano ya Kigali gihuza abantu barenga 1500…,75.90721152765897
13,"February 8, 2023 - Under the proposed 2022/2023 budget revision, the Government spending will increase by Frw 106.4 billion, a 2.3% increase to Frw…",Gashyantare 8 2023 Muri gahunda yo kuvugurura ingengo y’imari 20222023 iteganijwe gukoreshwa na Leta iziyongeraho miliyari 1064 z'amafaranga y'u Rwanda kwiyongera 23 kuri Frw…,48.03844614152615
14,"1 February 2023 - President Paul Kagame and First Lady Jeannette Kagame on Wednesday laid a wreath at the National Heroes Mausoleum, paying tribute to…",1 Gashyantare 2023 Perezida Paul Kagame na Madamu wa Perezida Jeannette Kagame ku wa gatatu bashyize indabyo ku mva y’intwari z’igihugu zunamira…,80.03267306650415
